manufacturer,antennaModel,height_ft,width_ft,height_m,width_m,notes
ALL MANUFACTURERS,16 x 20,16,20,4.88,6.1,
ALL MANUFACTURERS,16 x 20 FT PASSIVE,16,20,4.88,6.1,
ALL MANUFACTURERS,1620 RF,16,20,4.88,6.1,
ALL MANUFACTURERS,1620RF,16,20,4.88,6.1,
ALL MANUFACTURERS,16x20,16,20,4.88,6.1,
ALL MANUFACTURERS,16X20 FT PASSIVE,16,20,4.88,6.1,
ALL MANUFACTURERS,16x20 PASSIVE,16,20,4.88,6.1,
ALL MANUFACTURERS,16X20FTPassive,16,20,4.88,6.1,
ALL MANUFACTURERS,Passive  16 X 20 feet,16,20,4.88,6.1,
ALL MANUFACTURERS,Passive  16 X 20 Ft,16,20,4.88,6.1,
ALL MANUFACTURERS,Passive 16 X 20,16,20,4.88,6.1,
ALL MANUFACTURERS,PASSIVE 4.9 X 6.1,16,20,4.88,6.1,
ALL MANUFACTURES,16X20,16,20,4.88,6.1,
ALL MANUFACTURES,16X20 FT PASSIVE,16,20,4.88,6.1,
ALL MANUFACTURES,16x20 Passive,16,20,4.88,6.1,
ALL MANUFATURERS,16 x 20 FT PASSIVE,16,20,4.88,6.1,
MICROFLECT,1620,16,20,4.88,6.1,
MICROFLECT,1620-15,16,20,4.88,6.1,
MICROFLECT,1620-8,16,20,4.88,6.1,
MICROFLECT,1620RF,16,20,4.88,6.1,
MICROFLECT,4.9m x 6.1m,16,20,4.88,6.1,
MTS SERVICE,4.9m x 6.1m,16,20,4.88,6.1,
VELMONT,4.9m x 6.1m,16,20,4.88,6.1,
ALL,16x24 FT PASSIVE,16,24,4.88,7.32,
ALL AMANUFACTURERS,16X24 FT PASSIVE,16,24,4.88,7.32,
ALL MANUFACTURERS,1624RF,16,24,4.88,7.32,
ALL MANUFACTURERS,16X24,16,24,4.88,7.32,
ALL MANUFACTURERS,16X24 FT PASSIVE,16,24,4.88,7.32,
ALL MANUFACTURERS,Passive 16x24,16,24,4.88,7.32,
ALL MANUFACTURES,16X24 FT PASSIVE,16,24,4.88,7.32,
ALL MAUNFACTURES,16X24 FT PASSIVE,16,24,4.88,7.32,
ALL NAMUFACTURERS,16X24 FT PASSIVE,16,24,4.88,7.32,
GENERIC PASSIVE,16x24,16,24,4.88,7.32,
MELI DITCH,16 X 24,16,24,4.88,7.32,
MICROFLECT,16' x 24',16,24,4.88,7.32,
MICROFLECT,1624RF,16,24,4.88,7.32,
ALL MANUFACTURERS,202RF,20,2,6.10,0.61,
ALL,20X24 FT Passive,20,24,6.10,7.32,
ALL MANUFACTRURES,20 X 24 FDt Passive,20,24,6.10,7.32,
ALL MANUFACTURER,20X24 FT PASSIVE,20,24,6.10,7.32,
ALL MANUFACTURERE,20 by 24 Passive,20,24,6.10,7.32,
ALL MANUFACTURERS,20 X 24,20,24,6.10,7.32,
ALL MANUFACTURERS,20 x 24 ' Passive,20,24,6.10,7.32,
ALL MANUFACTURERS,20' x 24' Passive,20,24,6.10,7.32,
ALL MANUFACTURERS,20 X24 Passive,20,24,6.10,7.32,
ALL MANUFACTURERS,2024RF,20,24,6.10,7.32,
ALL MANUFACTURERS,20X24,20,24,6.10,7.32,
ALL MANUFACTURERS,20X24 FOOT PASSIVE,20,24,6.10,7.32,
ALL MANUFACTURERS,20X24 FT PASSIVE,20,24,6.10,7.32,
ALL MANUFACTURERS,PASSIVE 20 X 24,20,24,6.10,7.32,
ALL MANUFACTURES,20 x 24 FT PASSIVE,20,24,6.10,7.32,
ALL MANUFACTURES,20 X 24 PASSIVE,20,24,6.10,7.32,
ALL MANUFACTURES,20X24 FT PASSIVE,20,24,6.10,7.32,
ALL MANUFACTURES,6.1m x 7.3m,20,24,6.10,7.32,
ALL MANUFACTURRES,20 X 24 Ft Passive,20,24,6.10,7.32,
Commscope,20x24 passive,20,24,6.10,7.32,
GENERIC PASSIVE,20x24,20,24,6.10,7.32,
MICROFLECT,20' x 24',20,24,6.10,7.32,
MICROFLECT,6.1m x 7.3m,20,24,6.10,7.32,
MICROFLECT,PR20x24,20,24,6.10,7.32,
MICROFLECT / VALMONT,2024-8 (20' x 24')),20,24,6.10,7.32,
MICROFLEX,20-24,20,24,6.10,7.32,
PASSIVE REFLECTOR,20 FOOT X 24 FOOT,20,24,6.10,7.32,
VALMONT,2024,20,24,6.10,7.32,
VALMONT MICROFLECT,20 x 24 Ft Passive,20,24,6.10,7.32,
All Manufacturers,2028RF,20,28,6.10,8.53,From Peter E's 06062021 data
ALL MANUFACTURERS,20 X 30 FT PASSIVE,20,30,6.10,9.14,
ALL MANUFACTURERS,2030RF,20,30,6.10,9.14,
ALL MANUFACTURERS,20X30 FT PASSIVE,20,30,6.10,9.14,
ALL MANUFACTURES,20 X 30 FT PASSIVE,20,30,6.10,9.14,
ALL MANUFACTURERS,20 X 32,20,32,6.10,9.75,
ALL MANUFACTURERS,20 X 32 Ft,20,32,6.10,9.75,
ALL MANUFACTURERS,20 X 32 FT Passive,20,32,6.10,9.75,
ALL MANUFACTURERS,2032RF,20,32,6.10,9.75,
ALL MANUFACTURERS,20X32 FT PASSIVE,20,32,6.10,9.75,
ALL MANUFACTURERS,PASSIVE 20 x 32,20,32,6.10,9.75,
MICROFLECT,2032-15,20,32,6.10,9.75,
MICROFLECT,2032-15A,20,32,6.10,9.75,
ALL MANUFACTURERS,24 X 30,24,30,7.32,9.14,
ALL MANUFACTURERS,24 X 30 Ft,24,30,7.32,9.14,
ALL MANUFACTURERS,24 X 30 Ft Passive,24,30,7.32,9.14,
ALL MANUFACTURERS,24 X 30 Ft Passvie,24,30,7.32,9.14,
ALL MANUFACTURERS,24 X 30 Passive,24,30,7.32,9.14,
ALL MANUFACTURERS,24.30 ft Passive,24,30,7.32,9.14,
ALL MANUFACTURERS,2430RF,24,30,7.32,9.14,
ALL MANUFACTURERS,24x30,24,30,7.32,9.14,
ALL MANUFACTURERS,24X30 FT PASSIVE,24,30,7.32,9.14,
ALL MANUFACTURERS,24X30 Ft. Passive,24,30,7.32,9.14,
ALL MANUFACTURERS,24X30 PASSIVE,24,30,7.32,9.14,
ALL MANUFACTURERS,7.3 X 9.1 M PASSIVE,24,30,7.32,9.14,
ALL MANUFACTURERS,7.3 X 9.1 M. PASSIVE,24,30,7.32,9.14,
ALL MANUFACTURERS,Passive  24 x 30,24,30,7.32,9.14,
ALL MANUFACTURERS,Passive 24 x 30,24,30,7.32,9.14,
ALL MANUFACTURES,24 X 30,24,30,7.32,9.14,
ALL MANUFACTURES,2430RF,24,30,7.32,9.14,
ALL MANUFATURERS,24x30 FT Passive,24,30,7.32,9.14,
ALL MANURFACTURES,24 x 30,24,30,7.32,9.14,
MICROFLECT,24-30,24,30,7.32,9.14,
MICROFLECT,2430-15,24,30,7.32,9.14,
MICROFLECT,2430-8,24,30,7.32,9.14,
MICROFLECT,24X30 FT PASSIVE,24,30,7.32,9.14,
MICROFLECT,7.3m x 9.1m,24,30,7.32,9.14,
N/A,PASSIVE 24 X 30,24,30,7.32,9.14,
VALMONT,24 X 30 FT PASSIVE,24,30,7.32,9.14,
