manufacturer,antennaModel,standardModel,diameter_ft,diameter_m,gain_dBi,notes
Radio Frequency Systems,DA 10-59,DA1059,10,3.05,43.4,https://www.rfsworld.com/pim/product/html/DA10-59AD
CABLEWAVE SYSTEMS,DA10 59,DA1059,10,3.05,43.4,https://www.rfsworld.com/pim/product/html/DA10-59AD
CABLEWAVE SYSTEMS,DA10.59,DA1059,10,3.05,43.4,https://www.rfsworld.com/pim/product/html/DA10-59AD
RFS,DA10?59,DA1059,10,3.05,43.4,https://www.rfsworld.com/pim/product/html/DA10-59AC
CABLEWAVE SYSTEMS,DA10-59,DA1059,10,3.05,43.4,https://www.rfsworld.com/pim/product/html/DA10-59AD
RFS,DA10-59,DA1059,10,3.05,43.4,https://www.rfsworld.com/pim/product/html/DA10-59AC
RFS,DA10-59A,DA1059A,10,3.05,43.4,https://www.rfsworld.com/pim/product/html/DA10-59AC
CABLEWAVE SYSTEMS,DA10-59AC,DA1059AC,10,3.05,43.4,https://www.rfsworld.com/pim/product/html/DA10-59AC
CABLEWAVE SYSTEMS,DA10-59WAC,DA1059WAC,10,3.05,43.4,https://www.rfsworld.com/pim/product/html/DA10-59AD
RFS,DA10-59WAC,DA1059WAC,10,3.05,43.4,https://www.rfsworld.com/pim/product/html/DA10-59AC
RFS,DA10-59WW,DA1059WW,10,3.05,43.4,https://www.rfsworld.com/pim/product/html/DA10-59AC
CABLEWAVE SYSTEMS,DA10 65,DA1065,10,3.05,44.1,https://www.rfsworld.com/pim/product/html/DA10-65AC
CABLEWAVE SYSTEMS,DA10-65,DA1065,10,3.05,44.1,https://www.rfsworld.com/pim/product/html/DA10-65AC
RFS,DA10-65,DA1065,10,3.05,44.1,https://www.rfsworld.com/pim/product/html/DA10-65AC
RFS,DA10?65A,DA1065A,10,3.05,44.1,https://www.rfsworld.com/pim/product/html/DA10-65AC
RFS,DA10-65A,DA1065A,10,3.05,44.1,https://www.rfsworld.com/pim/product/html/DA10-65AC
CABLEWAVE SYSTEMS,DA10-65AC,DA1065AC,10,3.05,44.1,https://www.rfsworld.com/pim/product/html/DA10-65AC
RFS,DA10-W57A,DA10W57A,10,3.05,43.5,https://www.rfsworld.com/pim/product/html/DA10-W57AC
RFS,DA12-58W,DA1258W,12,3.66,45.2,Comsearch's Frequency Coordination Database
CABLEWAVE,DA12-59,DA1259,12,3.66,45.1,https://www.rfsworld.com/pim/product/html/DA12-59AC
RFS,DA12-59A,DA1259A,12,3.66,45.1,https://www.rfsworld.com/pim/product/html/DA12-59AC
CABLEWAVE SYSTEMS,DA12 65,DA1265,12,3.66,45.8,https://www.rfsworld.com/pim/product/html/DA12-65AC
CABLEWAVE SYSTEMS,DA12-65,DA1265,12,3.66,45.8,https://www.rfsworld.com/pim/product/html/DA12-65AC
RFS,DA12-65A,DA1265A,12,3.66,45.8,https://www.rfsworld.com/pim/product/html/DA12-65AC
CABLEWAVE SYSTEMS,DA6-59,DA659,6,1.83,39,Comsearch's Frequency Coordination Database
